id,drug_name,expiry_date,quantity
1,Menstrual Cramps Back,8/9/2018,6
2,cold and cough,7/26/2018,9
3,ISENTRESS,7/15/2018,3
4,Sani Wipes,8/5/2018,3
5,Quflora Pediatric,12/29/2017,12
6,Sandostatin LAR Depot,11/20/2018,9
7,Dextroamphetamine,1/27/2018,5
8,Badger Lavender SPF 30 Sunscreen,5/21/2018,12
9,Relpax,8/6/2018,10
10,Acarbose,8/7/2018,8
11,Warfarin Sodium,9/15/2018,5
12,Cialis,10/10/2018,8
13,DERMA GRAN BC,6/5/2018,20
14,Kroger Sport SPF 50 Sunstick,12/23/2017,7
15,Pantoprazole Sodium,3/6/2018,4
16,Hydroxychloroquine Sulfate,4/23/2018,1
17,Carbamazepine,10/26/2018,16
18,Ativan,10/25/2018,19
19,Metoclopramide,6/3/2018,5
20,Superdent,10/5/2018,16
21,Doxycycline Hyclate,2/17/2018,8
22,Amantadine HCl,2/28/2018,18
23,Megestrol Acetate,6/17/2018,17
24,Simponi,12/27/2017,8
25,Imiquimod,3/31/2018,17
26,Vitamin A and D,10/15/2018,17
27,Fucus Vesiculosus,11/28/2018,15
28,Neomycin and Polymyxin B Sulfates and Dexamethasone,1/25/2018,13
29,Duck Feathers,8/17/2018,8
30,Dr. Jart Hydrafull Beauty Balm,6/27/2018,7
